district,Zone,Geographical Region,Disaster,region,village,Date,Source,Data Cards,Deaths,Injured,Missing,Houses Destroyed,Houses Damaged,Victims,Affected,Relocated,Evacuated,Losses USD,Losses Local,Education centers,Hospitals,Damages in crops Ha.,Region
Udayapur,Sagarmatha,Hill,EARTHQUAKE,Eastern Region,,08/21/88,Gorkhapatra 1988-8-24 Yr-88No-111,1.0,82,523,0,2577,3459,0,0,0,0,0,0.0,74,0,0.0,Eastern
Khotang,Sagarmatha,Hill,EARTHQUAKE,Eastern Region,Diktel,08/21/88,Gorkhapatra 1988-8-24 Yr-88No-111,1.0,12,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Eastern
Siraha,Sagarmatha,Terai,EARTHQUAKE,Eastern Region,,08/21/88,Gorkhapatra 1988-8-24 Yr-88No-111,1.0,8,84,0,652,174,0,0,0,0,0,0.0,96,0,0.0,Eastern
Bhojpur,Kosi,Hill,EARTHQUAKE,Eastern Region,,08/21/88,Gorkhapatra 1988-8-24 Yr-88No-111,1.0,14,206,0,1157,4425,0,0,0,0,0,0.0,54,0,0.0,Eastern
Banke,Bheri,Terai,EPIDEMIC,Mid-Western Region,,08/23/88,Gorkhapatra 1988-8-24 Yr-88No-111,1.0,0,17,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Mid-Western
Saptari,Sagarmatha,Terai,FLOOD,Eastern Region,HANUMAN NAGAR,08/23/88,Gorkhapatra 1988-8-24 Yr-88No-111,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Eastern
Dhanusa,Janakpur,Terai,EPIDEMIC,Central Region,Janakpur Municipality,08/23/88,Gorkhapatra 1988-8-24 Yr-88No-111,1.0,0,6,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Okhaldhunga,Sagarmatha,Hill,EARTHQUAKE,Eastern Region,,08/21/88,Gorkhapatra 1988-8-24 Yr-88No-111,1.0,8,136,0,944,1194,0,0,0,0,0,0.0,76,0,0.0,Eastern
Khotang,Sagarmatha,Hill,EARTHQUAKE,Eastern Region,Khotang Bazar,08/21/88,Gorkhapatra 1988-8-24 Yr-88No-111,1.0,26,415,0,2297,5977,0,0,0,0,0,0.0,126,0,0.0,Eastern
Kailali,Seti,Terai,FLOOD,Far Western Region,DANSINHAPUR,08/23/88,Gorkhapatra 1988-8-25 Yr-88No-112,1.0,0,0,0,0,0,0,500,0,0,0,0.0,0,0,813.0,Far-Western
Syangja,Gandaki,Hill,LANDSLIDE,Western Region,TAKSAR KHALANGA,08/23/88,Gorkhapatra 1988-8-25 Y88 N112,1.0,5,1,0,1,0,0,8,0,0,0,0.0,0,0,0.0,Western
Kailali,Seti,Terai,STRONG WIND,Far Western Region,GETA,05/24/88,Gorkhapatra 1988-5-25 Yr-88No-20,1.0,0,6,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Far-Western
Kathmandu,Bagmati,Hill,STRUCT.COLLAPSE,Central Region,KATHMANDU METROPOLITAN CITY,08/25/88,Gorkhapatra 1988-8-26 Yr-88No-113,1.0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0.0,Central
Salyan,Rapti,Hill,EPIDEMIC,Mid-Western Region,CHHAYANCHHETRA,08/24/88,Gorkhapatra 1988-8-26 Yr-88No-113,1.0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Mid-Western
Jhapa,Mechi,Terai,FLOOD,Eastern Region,SHIVAGANJ,08/28/88,Gorkhapatra 1988-8-29 Yr-88No-116,1.0,0,0,0,0,0,0,308,0,0,0,0.0,0,0,15.0,Eastern
Jhapa,Mechi,Terai,FLOOD,Eastern Region,SHARANMATI,08/28/88,Gorkhapatra 1988-8-29 Yr-88No-116,1.0,0,0,0,15,0,0,0,0,0,0,0.0,0,0,0.0,Eastern
Jhapa,Mechi,Terai,FLOOD,Eastern Region,SURUNGA,08/28/88,Gorkhapatra 1988-8-29 Yr-88No-116,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Eastern
Banke,Bheri,Terai,EPIDEMIC,Mid-Western Region,,08/28/88,Gorkhapatra 1988-8-29 Yr-88No-116,1.0,2,25,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Mid-Western
Kathmandu,Bagmati,Hill,STRUCT.COLLAPSE,Central Region,KATHMANDU METROPOLITAN CITY,08/28/88,Gorkhapatra 1988-8-29 Yr-88No-116,1.0,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0.0,Central
Kathmandu,Bagmati,Hill,STRUCT.COLLAPSE,Central Region,KATHMANDU METROPOLITAN CITY,08/29/88,Gorkhapatra 1988-8-30 Yr-88No-117,1.0,1,16,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Jhapa,Mechi,Terai,EPIDEMIC,Eastern Region,SATASIDHAM,08/29/88,Gorkhapatra 1988-8-30 Yr-88No-117,1.0,2,5,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Eastern
