Epicentre,Zone,Geographical Region,Development Region,Date,Category,Value
Dhanusa,Janakpur,Terai,Central,3/17/2013,Longitude,86.08
Dhanusa,Janakpur,Terai,Central,6/26/2013,Longitude,85.96
Dhanusa,Janakpur,Terai,Central,2/17/2010,Magnitude (ml),4.1
Dhanusa,Janakpur,Terai,Central,3/17/2013,Magnitude (ml),4.2
Dhanusa,Janakpur,Terai,Central,6/26/2013,Magnitude (ml),4.4
Dolakha,Janakpur,Mountain,Central,7/12/2009,Latitude,27.71
Dolakha,Janakpur,Mountain,Central,4/30/2010,Latitude,27.75
Dolakha,Janakpur,Mountain,Central,11/19/2011,Latitude,27.7
Dolakha,Janakpur,Mountain,Central,7/12/2009,Longitude,86.36
Dolakha,Janakpur,Mountain,Central,4/30/2010,Longitude,86.36
Dolakha,Janakpur,Mountain,Central,11/19/2011,Longitude,86.1
Dolakha,Janakpur,Mountain,Central,7/12/2009,Magnitude (ml),4.3
Dolakha,Janakpur,Mountain,Central,4/30/2010,Magnitude (ml),4.0
Dolakha,Janakpur,Mountain,Central,11/19/2011,Magnitude (ml),4.1
Gorkha,Gandaki,Hill,Western,12/18/2010,Latitude,28.18
Gorkha,Gandaki,Hill,Western,11/13/2011,Latitude,28.2
Gorkha,Gandaki,Hill,Western,12/18/2010,Longitude,84.79
Gorkha,Gandaki,Hill,Western,11/13/2011,Longitude,84.93
Gorkha,Gandaki,Hill,Western,12/18/2010,Magnitude (ml),4.1
Gorkha,Gandaki,Hill,Western,11/13/2011,Magnitude (ml),5.0
Humla,Karnali,Mountain,Mid-Western,10/13/2013,Latitude,30.08
Humla,Karnali,Mountain,Mid-Western,10/13/2013,Longitude,81.74
Humla,Karnali,Mountain,Mid-Western,10/13/2013,Magnitude (ml),4.5
Humla,Karnali,Mountain,Mid-Western,3/2/2008,Latitude,29.69
Humla,Karnali,Mountain,Mid-Western,12/8/2008,Latitude,30.15
Humla,Karnali,Mountain,Mid-Western,12/19/2008,Latitude,30.1
Humla,Karnali,Mountain,Mid-Western,12/26/2008,Latitude,30.09
Humla,Karnali,Mountain,Mid-Western,12/29/2008,Latitude,30.13
Humla,Karnali,Mountain,Mid-Western,9/26/2009,Latitude,29.81
Humla,Karnali,Mountain,Mid-Western,11/1/2009,Latitude,30.1
Humla,Karnali,Mountain,Mid-Western,11/8/2009,Latitude,30.11
Humla,Karnali,Mountain,Mid-Western,1/18/2011,Latitude,30.03
Humla,Karnali,Mountain,Mid-Western,6/17/2011,Latitude,30.24
Humla,Karnali,Mountain,Mid-Western,10/1/2011,Latitude,30.16
Humla,Karnali,Mountain,Mid-Western,1/19/2012,Latitude,29.73
Humla,Karnali,Mountain,Mid-Western,9/22/2013,Latitude,30.25
Humla,Karnali,Mountain,Mid-Western,3/2/2008,Longitude,81.76
Humla,Karnali,Mountain,Mid-Western,12/8/2008,Longitude,81.86
Humla,Karnali,Mountain,Mid-Western,12/19/2008,Longitude,81.91
Humla,Karnali,Mountain,Mid-Western,12/26/2008,Longitude,81.9
Humla,Karnali,Mountain,Mid-Western,12/29/2008,Longitude,82.03
Humla,Karnali,Mountain,Mid-Western,9/26/2009,Longitude,82.05
Humla,Karnali,Mountain,Mid-Western,11/1/2009,Longitude,81.81
Humla,Karnali,Mountain,Mid-Western,11/8/2009,Longitude,81.91
Humla,Karnali,Mountain,Mid-Western,1/18/2011,Longitude,81.97
Humla,Karnali,Mountain,Mid-Western,6/17/2011,Longitude,81.48
Humla,Karnali,Mountain,Mid-Western,10/1/2011,Longitude,81.81
Humla,Karnali,Mountain,Mid-Western,1/19/2012,Longitude,81.91
Humla,Karnali,Mountain,Mid-Western,9/22/2013,Longitude,81.55
Humla,Karnali,Mountain,Mid-Western,3/2/2008,Magnitude (ml),4.4
Humla,Karnali,Mountain,Mid-Western,12/8/2008,Magnitude (ml),6.0
Humla,Karnali,Mountain,Mid-Western,12/19/2008,Magnitude (ml),4.4
Humla,Karnali,Mountain,Mid-Western,12/26/2008,Magnitude (ml),4.5
Humla,Karnali,Mountain,Mid-Western,12/29/2008,Magnitude (ml),4.0
Humla,Karnali,Mountain,Mid-Western,9/26/2009,Magnitude (ml),4.3
Humla,Karnali,Mountain,Mid-Western,11/1/2009,Magnitude (ml),4.5
Humla,Karnali,Mountain,Mid-Western,11/8/2009,Magnitude (ml),4.3
Humla,Karnali,Mountain,Mid-Western,1/18/2011,Magnitude (ml),4.1
Humla,Karnali,Mountain,Mid-Western,6/17/2011,Magnitude (ml),4.2
